80,1954,Switzerland,Basel,Group 4,Belgium,England,4,4,D,,NA,NA,Jun,Thursday
81,1954,Switzerland,Berne,Group 2,West Germany,Turkey,4,1,H,,West Germany,Turkey,Jun,Thursday
82,1954,Switzerland,Zürich,Group 2,Hungary,South Korea,9,0,H,,Hungary,South Korea,Jun,Thursday
83,1954,Switzerland,Lausanne,Group 4,Switzerland,Italy,2,1,H,,Switzerland,Italy,Jun,Thursday
84,1954,Switzerland,Zürich,Group 3,Austria,Czechoslovakia,5,0,H,,Austria,Czechoslovakia,Jun,Saturday
85,1954,Switzerland,Lausanne,Group 1,Brazil,Yugoslavia,1,1,D,,NA,NA,Jun,Saturday
86,1954,Switzerland,Geneva,Group 1,France,Mexico,3,2,H,,France,Mexico,Jun,Saturday
87,1954,Switzerland,Basel,Group 3,Scotland,Uruguay,0,7,A,,Uruguay,Scotland,Jun,Saturday
88,1954,Switzerland,Lugano,Group 4,Belgium,Italy,1,4,A,,Italy,Belgium,Jun,Sunday
89,1954,Switzerland,Basel,Group 2,West Germany,Hungary,3,8,A,,Hungary,West Germany,Jun,Sunday
90,1954,Switzerland,Geneva,Group 2,South Korea,Turkey,0,7,A,,Turkey,South Korea,Jun,Sunday
91,1954,Switzerland,Berne,Group 4,Switzerland,England,0,2,A,,England,Switzerland,Jun,Sunday
92,1954,Switzerland,Zürich,Group 2,West Germany,Turkey,7,2,H,,West Germany,Turkey,Jun,Wednesday
93,1954,Switzerland,Basel,Group 4,Switzerland,Italy,4,1,H,,Switzerland,Italy,Jun,Wednesday
94,1954,Switzerland,Basel,Quarterfinals,England,Uruguay,2,4,A,,Uruguay,England,Jun,Saturday
95,1954,Switzerland,Lausanne,Quarterfinals,Switzerland,Austria,5,7,A,,Austria,Switzerland,Jun,Saturday
96,1954,Switzerland,Berne,Quarterfinals,Brazil,Hungary,2,4,A,,Hungary,Brazil,Jun,Sunday
